name total correct accuracy error macro_f1
food101/2shots/1ctx/16prompts/seed2     
food101/2shots/1ctx/16prompts/seed3     
food101/2shots/2ctx/8prompts/seed1 30300 23480 77.5 22.5 77.3
food101/2shots/2ctx/8prompts/seed2 30300 23384 77.2 22.8 77.1
food101/2shots/2ctx/8prompts/seed3 30300 23258 76.8 23.2 76.5
food101/2shots/4ctx/4prompts/seed1 30300 22605 74.6 25.4 74.3
food101/2shots/4ctx/4prompts/seed2 30300 22871 75.5 24.5 75.4
food101/2shots/4ctx/4prompts/seed3 30300 22492 74.2 25.8 73.6
food101/2shots/8ctx/2prompts/seed1 30300 22836 75.4 24.6 75.0
food101/2shots/8ctx/2prompts/seed2 30300 23205 76.6 23.4 76.5
food101/2shots/8ctx/2prompts/seed3 30300 22507 74.3 25.7 73.8
food101/2shots/16ctx/1prompts/seed1 30300 22654 74.8 25.2 74.5
food101/2shots/16ctx/1prompts/seed2 30300 22980 75.8 24.2 75.7
food101/2shots/16ctx/1prompts/seed3 30300 23082 76.2 23.8 76.1
food101/4shots/1ctx/16prompts/seed1     
food101/4shots/1ctx/16prompts/seed2     
food101/4shots/1ctx/16prompts/seed3     
food101/4shots/2ctx/8prompts/seed1 30300 23276 76.8 23.2 76.7
food101/4shots/2ctx/8prompts/seed2 30300 23396 77.2 22.8 77.0
food101/4shots/2ctx/8prompts/seed3 30300 23172 76.5 23.5 76.4
food101/4shots/4ctx/4prompts/seed1 30300 22697 74.9 25.1 74.8
food101/4shots/4ctx/4prompts/seed2 30300 23099 76.2 23.8 76.1
food101/4shots/4ctx/4prompts/seed3 30300 22427 74.0 26.0 73.9
food101/4shots/8ctx/2prompts/seed1 30300 23015 76.0 24.0 75.8
food101/4shots/8ctx/2prompts/seed2 30300 23660 78.1 21.9 78.1
food101/4shots/8ctx/2prompts/seed3 30300 22708 74.9 25.1 74.8
food101/4shots/16ctx/1prompts/seed1 30300 22479 74.2 25.8 74.0
food101/4shots/16ctx/1prompts/seed2 30300 23820 78.6 21.4 78.5
food101/4shots/16ctx/1prompts/seed3 30300 23480 77.5 22.5 77.4
food101/8shots/1ctx/16prompts/seed1     
food101/8shots/1ctx/16prompts/seed2     
food101/8shots/1ctx/16prompts/seed3     
food101/8shots/2ctx/8prompts/seed1 30300 23531 77.7 22.3 77.4
food101/8shots/2ctx/8prompts/seed2 30300 23800 78.5 21.5 78.5
food101/8shots/2ctx/8prompts/seed3 30300 23531 77.7 22.3 77.4
food101/8shots/4ctx/4prompts/seed1 30300 23143 76.4 23.6 76.2
food101/8shots/4ctx/4prompts/seed2 30300 23423 77.3 22.7 77.2
food101/8shots/4ctx/4prompts/seed3 30300 23200 76.6 23.4 76.4
